Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
colorgin-arte-urbana-400ml,,,,,,,,VERDE TOSCANA 910,colorgin-arte-urbana-400ml-910,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERMELHO AÇAI 921,colorgin-arte-urbana-400ml-921,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERMELHO CEREJA 973,colorgin-arte-urbana-400ml-973,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERMELHO FERRARI 919,colorgin-arte-urbana-400ml-919,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERMELHO GOIABA 922,colorgin-arte-urbana-400ml-922,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VERMELHO MALAGUETA 920,colorgin-arte-urbana-400ml-920,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VIOLETA 936,colorgin-arte-urbana-400ml-936,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VIOLETA COSMOS 937,colorgin-arte-urbana-400ml-937,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VIOLETA ESSENCIA 938,colorgin-arte-urbana-400ml-938,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,VIOLETA VAMPIRO 997,colorgin-arte-urbana-400ml-997,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
